obs_index,CooksD,threshold
983,7.061411835747576e-05,2.117825205296681e-05
988,5.246319780789192e-05,2.117825205296681e-05
1039,3.7174530068752705e-05,2.117825205296681e-05
1057,0.00011901082596877904,2.117825205296681e-05
1072,7.616398450343397e-05,2.117825205296681e-05
1175,0.0001475805114544248,2.117825205296681e-05
1201,8.537773867909033e-05,2.117825205296681e-05
1208,6.250964859582499e-05,2.117825205296681e-05
1210,8.345782457820214e-05,2.117825205296681e-05
1212,2.3315051375386217e-05,2.117825205296681e-05
1224,7.995748173288882e-05,2.117825205296681e-05
1253,0.00010523068018417096,2.117825205296681e-05
1311,3.7566597728418254e-05,2.117825205296681e-05
1312,5.7204320775753775e-05,2.117825205296681e-05
1328,9.599395614665126e-05,2.117825205296681e-05
1343,4.7414217320398145e-05,2.117825205296681e-05
1369,0.00015843285869204,2.117825205296681e-05
1380,4.1676187719979256e-05,2.117825205296681e-05
1382,2.6010404204128e-05,2.117825205296681e-05
1401,0.00021683624178143372,2.117825205296681e-05
1410,6.246266666979328e-05,2.117825205296681e-05
1412,3.1888777725331405e-05,2.117825205296681e-05
1448,5.769122394452001e-05,2.117825205296681e-05
1461,0.00010331841609556666,2.117825205296681e-05
1471,8.92191596096361e-05,2.117825205296681e-05
1481,3.271695097457016e-05,2.117825205296681e-05
1491,4.0955351634700446e-05,2.117825205296681e-05
1504,9.35855893644735e-05,2.117825205296681e-05
1529,7.732820576285297e-05,2.117825205296681e-05
1530,9.717203981940702e-05,2.117825205296681e-05
1534,6.194971519830432e-05,2.117825205296681e-05
1535,5.3983720141809644e-05,2.117825205296681e-05
1545,0.00013337642774418804,2.117825205296681e-05
1553,6.148980474416065e-05,2.117825205296681e-05
1576,8.756036871155896e-05,2.117825205296681e-05
1604,4.5983017292665404e-05,2.117825205296681e-05
1650,8.97380008708077e-05,2.117825205296681e-05
1655,2.5924561366175093e-05,2.117825205296681e-05
1660,0.00014699627528305429,2.117825205296681e-05
1674,7.450960376935804e-05,2.117825205296681e-05
1770,6.156476737368744e-05,2.117825205296681e-05
1848,9.079884283490484e-05,2.117825205296681e-05
1856,5.594355223642311e-05,2.117825205296681e-05
1872,8.618867638504871e-05,2.117825205296681e-05
1907,0.00011482562675034701,2.117825205296681e-05
1920,5.086867663826165e-05,2.117825205296681e-05
1933,8.5327088413421e-05,2.117825205296681e-05
1946,3.124122658691461e-05,2.117825205296681e-05
1951,6.335446187185176e-05,2.117825205296681e-05
1987,6.350086239158155e-05,2.117825205296681e-05
2038,2.1699426789939066e-05,2.117825205296681e-05
2083,6.369866657004041e-05,2.117825205296681e-05
2086,9.892303951354775e-05,2.117825205296681e-05
2087,2.2619199290383175e-05,2.117825205296681e-05
2099,7.805391925971133e-05,2.117825205296681e-05
2106,0.00014096663638169036,2.117825205296681e-05
2116,0.0001413834765417875,2.117825205296681e-05
2126,2.3028226897036774e-05,2.117825205296681e-05
2153,7.80805936823081e-05,2.117825205296681e-05
2165,8.167369743342579e-05,2.117825205296681e-05
2264,0.00012056212654372896,2.117825205296681e-05
2268,0.00010502413995263203,2.117825205296681e-05
2271,6.815330663246224e-05,2.117825205296681e-05
2273,0.00018355913931859225,2.117825205296681e-05
2298,2.826332420246947e-05,2.117825205296681e-05
2328,0.0002315978899807839,2.117825205296681e-05
2343,7.276862498322964e-05,2.117825205296681e-05
